criticalFound,Inspection_Date,Inspector_blue,Inspector_brown,Inspector_green,Inspector_orange,Inspector_purple,Inspector_yellow,pastSerious,pastCritical,timeSinceLast,ageAtInspection,consumption_on_premises_incidental_activity,tobacco_retail_over_counter,temperatureMax,heat_burglary,heat_sanitation,heat_garbage
0.0,15736,0,0,1,0,0,0,0.0,0.0,2.0,1,0.0,1.0,53.49666666666666,26.99237586163303,37.748787167932505,12.768572449358047
0.0,15265,1,0,0,0,0,0,0.0,0.0,2.0,1,0.0,0.0,59.04666666666666,13.976556531634236,15.412267322070074,12.895485011642904
0.0,15265,1,0,0,0,0,0,0.0,0.0,2.0,1,0.0,0.0,59.04666666666666,12.611239475253587,8.320329738168754,8.004219947993086
0.0,15266,1,0,0,0,0,0,0.0,0.0,2.0,1,0.0,0.0,56.15333333333334,35.906382996944764,38.18661845787836,26.23864454195639
0.0,15267,1,0,0,0,0,0,0.0,0.0,2.0,1,0.0,0.0,52.73,9.53078543793244,2.126787504674216,3.4015669077145034
0.0,15230,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,0.0,79.21666666666668,35.11199288105402,12.350779294794087,32.219519130718325
0.0,15230,0,0,0,1,0,0,0.0,0.0,2.0,0,0.0,0.0,79.21666666666668,7.078183051512449,14.61509963732215,34.748476950415615
0.0,15230,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,0.0,79.21666666666668,12.579649352471677,11.509750726239774,15.110385023609176
0.0,15232,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,0.0,73.49666666666667,12.535886431233427,19.938422404915094,37.966418560819456
0.0,15232,0,0,0,1,0,0,0.0,0.0,2.0,0,0.0,0.0,73.49666666666667,13.627468306616006,25.030462813849287,41.05990216154411
0.0,15232,0,0,0,1,0,0,0.0,0.0,2.0,0,0.0,0.0,73.49666666666667,8.788509269757038,17.733490967092603,50.0
0.0,15239,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,0.0,70.07333333333334,3.656825014752453,16.604556088611638,24.68953357362625
1.0,15240,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,0.0,68.50333333333333,6.4638582082764495,13.57691765598051,28.279136974680625
0.0,15244,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,0.0,61.83333333333334,7.976849427826718,16.45224064077265,33.138719676325834
0.0,15244,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,1.0,61.83333333333334,19.366372179296068,8.813282363274547,26.905390412467646
0.0,15244,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,0.0,61.83333333333334,21.648686961562735,12.991147123246353,30.409737600760565
0.0,15244,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,0.0,61.83333333333334,18.67772520648368,13.769319982389215,32.55105731065029
0.0,15245,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,0.0,61.58666666666666,6.8351583637739575,21.00923712868301,30.193283992466327
0.0,15245,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,0.0,61.58666666666666,3.0675200579315733,4.003438204527846,3.6282236542048336
0.0,15246,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,0.0,60.71666666666667,5.763901326900362,7.529975270221707,40.36285909244465
0.0,15250,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,1.0,56.89666666666667,3.155327738837104,5.607563635211507,10.59866892104973
0.0,15251,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,0.0,59.86666666666667,2.9095486551591265,9.200158338836562,13.697695313126465
0.0,15251,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,0.0,59.86666666666667,17.748142755500414,0.1455402488999354,18.976301370331182
0.0,15253,0,0,0,1,0,0,0.0,0.0,2.0,1,1.0,0.0,69.17666666666666,1.7751587643336222,1.2254988273038012,0.8272693288279803
0.0,15253,0,0,0,1,0,0,0.0,0.0,2.0,1,1.0,0.0,69.17666666666666,1.7751587643336222,1.2254988273038012,0.8272693288279803
0.0,15253,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,0.0,69.17666666666666,1.7751587643336222,1.2254988273038012,0.8272693288279803
0.0,15253,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,0.0,69.17666666666666,1.7751587643336222,1.2254988273038012,0.8272693288279803
0.0,15254,0,0,0,1,0,0,0.0,0.0,2.0,0,1.0,0.0,73.16666666666667,12.581468562082287,1.6351993742413298,5.3562000117383635
0.0,15254,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,1.0,73.16666666666667,1.5603573066622616,10.529034967017187,10.060852427492597
0.0,15254,0,0,0,1,0,0,0.0,0.0,2.0,0,0.0,0.0,73.16666666666667,1.311517229147126,7.311497745283363,5.364553584072845
0.0,15261,0,0,0,1,0,0,0.0,0.0,2.0,0,0.0,0.0,69.67,33.036356661852324,22.12193713065835,47.05181508656396
0.0,15261,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,1.0,69.67,12.17414826405432,5.554171224977071,8.89598732556056
0.0,15264,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,1.0,59.96666666666667,4.587926660827248,9.881847441672651,8.030156015803835
0.0,15264,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,1.0,59.96666666666667,6.938108331153593,6.087251953281322,6.961910168153327
0.0,15264,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,0.0,59.96666666666667,5.8083714605125145,6.932212799547738,4.643791223591791
1.0,15267,0,0,0,1,0,0,0.0,0.0,2.0,1,0.0,0.0,52.73,10.004506346614583,10.011294934882313,18.267593129951194
